SITENO,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,TOT_SALINAVE,TOT_pH,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,TOT_KFACT,TOT_KFACT_UP
07362100,41.18,26.18,32.63,93.69,63.17,95.69,0.74,1,60,1.48,0.15,2.84,0,4.83,0.41,0,0,16.9,0,0,59.06,0,23.63,0,0.33,0.31
07362587,49.48,29.94,20.57,70.5,56,73.17,0.52,1.93,36.67,1.48,0.12,5.8,0,5.22,0,0,0,34,0,0,42,0,24,0,0.34,0.25
07363500,46.88,26.29,26.83,87.07,63.33,89.14,0.65,1.37,54.23,1.49,0.14,3.45,0,5.02,0,0,0,23.59,0,0,45.2,0,31.21,0,0.34,0.32
07373000,40.88,23.88,35.24,95.34,61.94,99.71,0.41,1.72,60,1.5,0.15,4.74,0,5.23,4.85,0,0,76.81,0,0,3.99,0,14.35,0,0.31,0.31
07375000,39.79,22.48,37.73,96.07,59.86,98.98,0.41,1.24,60,1.56,0.14,3.43,24.04,4.96,0,0,0,31.39,0,0,57.5,0,11.11,0,0.28,0.31
07375500,46.07,21.76,32.17,96.62,65.67,99.09,0.38,1.43,60,1.54,0.15,3.32,14.51,5.05,0.55,0,0,30.1,0,1.1,56.3,0,11.95,0,0.33,0.36
07376000,44.31,22.54,33.15,96.69,64.7,99.3,0.46,1.42,60,1.53,0.16,3.59,26.73,5.12,0.32,0,0,36.99,0,0.65,46.55,0,15.49,0,0.32,0.37
07378000,57.26,22.95,19.78,99.14,79.6,99.73,0.49,0.97,59.92,1.52,0.17,2.79,14.98,5.42,0.39,0,0,20.56,0,0.45,58.02,0,20.58,0,0.39,0.45
07378500,54.77,21.89,23.34,97.44,74.82,98.82,0.44,1.22,59.96,1.51,0.16,3,12.18,5.32,0.69,0,0,25.61,0,1.25,54.42,0,18.02,0,0.37,0.43
08013000,43.32,28.9,27.78,97.86,70.75,99.38,0.95,1.65,58.31,1.5,0.17,3.54,39.83,5.28,3.17,0,0.22,28.78,0,0.18,15.44,0,52.2,0,0.33,0.36
08013500,45.54,27.28,27.18,98.09,71.53,99.52,0.87,1.45,58.89,1.5,0.17,3.21,32.59,5.29,2.75,0,0.15,26.73,0,0.16,20.64,0,49.57,0,0.34,0.37
08014500,45.85,24.78,29.37,98.52,69.64,99.56,0.78,1.72,59.94,1.51,0.17,3.06,29.2,5.31,4.34,0,0.26,29.29,0,0.32,28.59,0,37.2,0,0.33,0.37
08015500,46.5,26.02,27.48,98.4,71.43,99.54,0.83,1.49,59.49,1.51,0.17,3.03,30.55,5.32,3.65,0,0.15,25.92,0,0.24,25.91,0,44.13,0,0.34,0.38
08023080,42.34,30.32,27.34,97.84,71.13,98.95,0.59,0.84,59.87,1.5,0.16,3.54,122.8,5.11,1.07,0,0,13.75,0,0,38.34,0,46.84,0,0.34,0.42
08025500,37.85,36.34,25.81,97.66,72.47,98.87,1.23,1.61,58.9,1.48,0.16,3.62,196.67,5.15,4.07,0,0.12,16.36,0,0,12.23,0,67.22,0,0.32,0.38
08029500,28.41,24.69,46.9,95.9,50.86,97.16,0.37,3.95,60,1.51,0.14,4.41,32.47,5.32,29.51,0,0,27.08,0,0.19,21.35,0,21.88,0,0.26,0.27
08032000,30.56,25.99,43.46,94.46,53.23,96.77,0.57,3.36,59.09,1.46,0.13,4.59,39.01,5.53,31.62,0,0,22.16,0,0,27.53,0,18.7,0,0.27,0.27
08033500,35.66,27.42,36.92,95.28,60.13,97.11,0.58,2.38,57.13,1.49,0.13,3.97,114.78,5.39,13.21,0,0,29.68,0,0,28.85,0,28.26,0,0.32,0.33
08050800,28.19,34.78,37.03,94.21,59.32,95.31,0.36,1.27,49.27,1.49,0.16,5.93,113.4,5.94,1.26,0,0,30.21,0,0,56.08,0,12.45,0,0.32,0.31
08055500,40.25,39.05,20.7,91.83,72.8,93.95,0.88,0.9,53.27,1.47,0.15,5.61,123.19,7.35,0.4,0,0,19,0,0,26.65,0,53.95,0,0.33,0.33
08066200,33.54,38.32,28.14,96.59,69.43,97.57,0.49,1.75,59.74,1.38,0.15,3.22,14.62,5.88,0.1,0,0,20.37,0,0,21.29,0,58.24,0,0.31,0.35
08066300,34.46,22.53,43.01,95.12,54.16,96.26,0.15,2.38,60,1.52,0.15,3.16,0,5.34,0.64,0,0,50.29,0,7.2,37.28,0,4.59,0,0.29,0.3
